eBird_name,group_members,GBIF_name,GBIF_rank,GBIF_taxonKey
Chloropsis moluccensis,['Chloropsis moluccensis'],"Chloropsis moluccensis J.E.Gray, 1831",SPECIES,10880827
Chloropsis cochinchinensis,['Chloropsis cochinchinensis'],"Chloropsis cochinchinensis (Gmelin, 1789)",SPECIES,5230732
Chloropsis kinabaluensis,['Chloropsis kinabaluensis'],"Chloropsis kinabaluensis Sharpe, 1887",SPECIES,5789034
Chloropsis jerdoni,['Chloropsis jerdoni'],"Chloropsis jerdoni (Blyth, 1844)",SPECIES,5789032
Chloropsis aurifrons,['Chloropsis aurifrons'],"Chloropsis aurifrons (Temminck, 1829)",SPECIES,5230726
Chloropsis media,['Chloropsis media'],"Chloropsis media (Bonaparte, 1850)",SPECIES,5789033
Chloropsis hardwickii,['Chloropsis hardwickii'],"Chloropsis hardwickii Jardine & Selby, 1830",SPECIES,5230728
Chloropsis hardwickii hardwickii/malayana,"['Chloropsis hardwickii hardwickii', 'Chloropsis hardwickii malayana']","['Chloropsis hardwickii hardwickii', 'Chloropsis hardwickii malayana Robinson & Kloss, 1923']","['SUBSPECIES', 'SUBSPECIES']","[9734430, 6090900]"
Chloropsis hardwickii lazulina/melliana,"['Chloropsis hardwickii melliana', 'Chloropsis hardwickii lazulina']","['Chloropsis hardwickii melliana Stresemann, 1923', 'Chloropsis hardwickii lazulina (Swinhoe, 1870)']","['SUBSPECIES', 'SUBSPECIES']","[6090907, 6090905]"
Chloropsis venusta,['Chloropsis venusta'],"Chloropsis venusta (Bonaparte, 1850)",SPECIES,5230727
Peucedramus taeniatus,['Peucedramus taeniatus'],"Peucedramus taeniatus (Du Bus de Gisignies, 1847)",SPECIES,2492276
Urocynchramus pylzowi,['Urocynchramus pylzowi'],"Urocynchramus pylzowi Przewalski, 1876",SPECIES,2494599
Bubalornis albirostris,['Bubalornis albirostris'],"Bubalornis albirostris (Vieillot, 1817)",SPECIES,2494074
Bubalornis niger,['Bubalornis niger'],"Bubalornis niger A.Smith, 1836",SPECIES,2494073
Dinemellia dinemelli,['Dinemellia dinemelli'],"Dinemellia dinemelli (Rüppell, 1845)",SPECIES,2493991
Sporopipes frontalis,['Sporopipes frontalis'],"Sporopipes frontalis (Daudin, 1800)",SPECIES,2494084
Sporopipes squamifrons,['Sporopipes squamifrons'],"Sporopipes squamifrons (A.Smith, 1836)",SPECIES,2494083
Plocepasser mahali,['Plocepasser mahali'],"Plocepasser mahali A.Smith, 1836",SPECIES,2492362
Plocepasser mahali melanorhynchus,['Plocepasser mahali melanorhynchus'],"Plocepasser mahali melanorhynchus Rüppell, 1845",SUBSPECIES,6090050
Plocepasser mahali ansorgei,['Plocepasser mahali ansorgei'],"Plocepasser mahali ansorgei Hartert, 1907",SUBSPECIES,6090042
Plocepasser mahali pectoralis,['Plocepasser mahali pectoralis'],"Plocepasser mahali pectoralis (W.Peters, 1868)",SUBSPECIES,6090036
Plocepasser mahali mahali,['Plocepasser mahali mahali'],Plocepasser mahali mahali,SUBSPECIES,6090028
Plocepasser superciliosus,['Plocepasser superciliosus'],"Plocepasser superciliosus (Cretzschmar, 1827)",SPECIES,2492361
Plocepasser rufoscapulatus,['Plocepasser rufoscapulatus'],"Plocepasser rufoscapulatus Büttikofer, 1888",SPECIES,2492359
Plocepasser donaldsoni,['Plocepasser donaldsoni'],"Plocepasser donaldsoni Sharpe, 1895",SPECIES,2492360
Histurgops ruficauda,['Histurgops ruficauda'],"Histurgops ruficauda Reichenow, 1887",SPECIES,2492355
Pseudonigrita arnaudi,['Pseudonigrita arnaudi'],"Pseudonigrita arnaudi (Bonaparte, 1850)",SPECIES,2492353
Pseudonigrita cabanisi,['Pseudonigrita cabanisi'],"Pseudonigrita cabanisi (Fischer & Reichenow, 1884)",SPECIES,2492352
Philetairus socius,['Philetairus socius'],"Philetairus socius (Latham, 1790)",SPECIES,2492357
Malimbus coronatus,['Malimbus coronatus'],"Malimbus coronatus Sharpe, 1906",SPECIES,2493998
Malimbus cassini,['Malimbus cassini'],"Malimbus cassini (Elliot, 1859)",SPECIES,2494001
Malimbus ballmanni,['Malimbus ballmanni'],"Malimbus ballmanni Wolters, 1974",SPECIES,2493994
Malimbus racheliae,['Malimbus racheliae'],"Malimbus racheliae (Cassin, 1857)",SPECIES,2493999
Malimbus scutatus,['Malimbus scutatus'],"Malimbus scutatus (Cassin, 1849)",SPECIES,2494002
Malimbus ibadanensis,['Malimbus ibadanensis'],"Malimbus ibadanensis Elgood, 1958",SPECIES,2494000
Malimbus erythrogaster,['Malimbus erythrogaster'],"Malimbus erythrogaster Reichenow, 1893",SPECIES,2493997
Malimbus nitens,['Malimbus nitens'],"Malimbus nitens (J.E.Gray, 1831)",SPECIES,2494003
Malimbus malimbicus,['Malimbus malimbicus'],"Malimbus malimbicus (Daudin, 1802)",SPECIES,2493996
Malimbus rubricollis,['Malimbus rubricollis'],"Malimbus rubricollis (Swainson, 1838)",SPECIES,2493995
Anaplectes rubriceps,['Anaplectes rubriceps'],"Anaplectes rubriceps (Sundevall, 1850)",SPECIES,2494106
Anaplectes rubriceps leuconotos,['Anaplectes rubriceps leuconotos'],"Anaplectes rubriceps leuconotos (J.W.von Müller, 1851)",SUBSPECIES,8762146
Anaplectes rubriceps rubriceps,['Anaplectes rubriceps rubriceps'],Anaplectes rubriceps rubriceps,SUBSPECIES,6089770
Anaplectes jubaensis,['Anaplectes jubaensis'],"Anaplectes jubaensis Van Someren, 1920",SPECIES,10705539
Ploceus flavipes,['Ploceus flavipes'],"Ploceus flavipes (Chapin, 1916)",SPECIES,5788938
Ploceus bertrandi,['Ploceus bertrandi'],"Ploceus bertrandi (Shelley, 1893)",SPECIES,2494013
Ploceus baglafecht,['Ploceus baglafecht'],"Ploceus baglafecht (Daudin, 1802)",SPECIES,2494061
Ploceus baglafecht [baglafecht Group],"['Ploceus baglafecht neumanni', 'Ploceus baglafecht baglafecht', 'Ploceus baglafecht eremobius']","['Ploceus baglafecht neumanni (Bannerman, 1923)', 'Ploceus baglafecht baglafecht', 'Ploceus baglafecht eremobius (Hartlaub & Emin, 1887)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6089747, 7341071, 6089729]"
Ploceus baglafecht emini,['Ploceus baglafecht emini'],"Ploceus baglafecht emini (Hartlaub, 1882)",SUBSPECIES,6089721
Ploceus baglafecht reichenowi,['Ploceus baglafecht reichenowi'],"Ploceus baglafecht reichenowi (Fischer, 1884)",SUBSPECIES,5845430
Ploceus baglafecht [stuhlmanni Group],"['Ploceus baglafecht stuhlmanni', 'Ploceus baglafecht sharpii', 'Ploceus baglafecht nyikae']","['Ploceus baglafecht stuhlmanni (Reichenow, 1893)', 'Ploceus baglafecht sharpii (Shelley, 1898)', 'Ploceus baglafecht nyikae (Benson, 1938)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6089709, 6089705, 6089698]"
Ploceus nigrimentus,['Ploceus nigrimentus'],"Ploceus nigrimentus Reichenow, 1904",SPECIES,5788941
Ploceus bannermani,['Ploceus bannermani'],"Ploceus bannermani Chapin, 1932",SPECIES,2494040
Ploceus batesi,['Ploceus batesi'],"Ploceus batesi (Sharpe, 1908)",SPECIES,2494031
Ploceus luteolus,['Ploceus luteolus'],"Ploceus luteolus (Lichtenstein, 1823)",SPECIES,2494045
Ploceus pelzelni,['Ploceus pelzelni'],"Ploceus pelzelni (Shelley, 1887)",SPECIES,2494067
Ploceus subpersonatus,['Ploceus subpersonatus'],"Ploceus subpersonatus (Cabanis, 1876)",SPECIES,2494064
Ploceus brachypterus,['Ploceus brachypterus'],"Ploceus brachypterus Swainson, 1837",SPECIES,10680018
Ploceus nigricollis,['Ploceus nigricollis'],"Ploceus nigricollis (Vieillot, 1805)",SPECIES,2494053
Ploceus ocularis,['Ploceus ocularis'],"Ploceus ocularis A.Smith, 1828",SPECIES,2494033
Ploceus ocularis crocatus,['Ploceus ocularis crocatus'],"Ploceus ocularis crocatus (Hartlaub, 1881)",SUBSPECIES,6089609
Ploceus ocularis ocularis/suahelicus,"['Ploceus ocularis suahelicus', 'Ploceus ocularis ocularis']","['Ploceus ocularis suahelicus Neumann, 1905', 'Ploceus ocularis ocularis']","['SUBSPECIES', 'SUBSPECIES']","[6089601, 6089594]"
Ploceus melanogaster,['Ploceus melanogaster'],"Ploceus melanogaster Shelley, 1887",SPECIES,2494059
Ploceus melanogaster melanogaster,['Ploceus melanogaster melanogaster'],Ploceus melanogaster melanogaster,SUBSPECIES,7341046
Ploceus melanogaster stephanophorus,['Ploceus melanogaster stephanophorus'],"Ploceus melanogaster stephanophorus (Sharpe, 1891)",SUBSPECIES,6089579
Ploceus alienus,['Ploceus alienus'],"Ploceus alienus (Sharpe, 1902)",SPECIES,2494048
Ploceus capensis,['Ploceus capensis'],"Ploceus capensis (Linnaeus, 1766)",SPECIES,2494035
Ploceus temporalis,['Ploceus temporalis'],"Ploceus temporalis (Bocage, 1880)",SPECIES,2494034
Ploceus subaureus,['Ploceus subaureus'],"Ploceus subaureus A.Smith, 1839",SPECIES,2494012
Ploceus xanthops,['Ploceus xanthops'],"Ploceus xanthops (Hartlaub, 1862)",SPECIES,2494027
Ploceus aurantius,['Ploceus aurantius'],"Ploceus aurantius (Vieillot, 1805)",SPECIES,2494028
Ploceus bojeri,['Ploceus bojeri'],"Ploceus bojeri (Cabanis, 1869)",SPECIES,2494054
Ploceus castaneiceps,['Ploceus castaneiceps'],"Ploceus castaneiceps (Sharpe, 1890)",SPECIES,2494025
Ploceus princeps,['Ploceus princeps'],"Ploceus princeps (Bonaparte, 1850)",SPECIES,2494026
Ploceus xanthopterus,['Ploceus xanthopterus'],"Ploceus xanthopterus (Hartlaub & Finsch, 1870)",SPECIES,2494019
Ploceus castanops,['Ploceus castanops'],"Ploceus castanops Shelley, 1888",SPECIES,2494016
Ploceus burnieri,['Ploceus burnieri'],"Ploceus burnieri N.E.Baker & E.M.Baker, 1990",SPECIES,2494044
Ploceus holoxanthus,['Ploceus holoxanthus'],"Ploceus holoxanthus Hartlaub, 1891",SPECIES,11146279
Ploceus taeniopterus,['Ploceus taeniopterus'],"Ploceus taeniopterus (Reichenbach, 1863)",SPECIES,2494043
Ploceus intermedius,['Ploceus intermedius'],"Ploceus intermedius Rüppell, 1845",SPECIES,2494014
Ploceus velatus,['Ploceus velatus'],"Ploceus velatus Vieillot, 1819",SPECIES,2494015
Ploceus vitellinus,['Ploceus vitellinus'],"Ploceus vitellinus (Lichtenstein, 1823)",SPECIES,2494057
Ploceus reichardi,['Ploceus reichardi'],"Ploceus reichardi Reichenow, 1886",SPECIES,2494018
Ploceus katangae,['Ploceus katangae'],"Ploceus katangae (Verheyen, 1947)",SPECIES,2494055
Ploceus katangae upembae,['Ploceus katangae upembae'],"Ploceus katangae upembae (Verheyen, 1953)",SUBSPECIES,9032932
Ploceus katangae katangae,['Ploceus katangae katangae'],Ploceus katangae katangae,SUBSPECIES,9013974
Ploceus ruweti,['Ploceus ruweti'],"Ploceus ruweti Louette & Benson, 1982",SPECIES,2494060
Ploceus heuglini,['Ploceus heuglini'],"Ploceus heuglini Reichenow, 1886",SPECIES,2494052
Ploceus galbula,['Ploceus galbula'],"Ploceus galbula Rüppell, 1840",SPECIES,2494029
Ploceus spekei,['Ploceus spekei'],"Ploceus spekei (Heuglin, 1861)",SPECIES,2494030
Ploceus spekeoides,['Ploceus spekeoides'],"Ploceus spekeoides Grant & Mackworth-Praed, 1947",SPECIES,2494021
Ploceus castaneofuscus,['Ploceus castaneofuscus'],"Ploceus castaneofuscus R.P.Lesson, 1840",SPECIES,10768448
Ploceus nigerrimus,['Ploceus nigerrimus'],"Ploceus nigerrimus Vieillot, 1819",SPECIES,2494063
Ploceus cucullatus,['Ploceus cucullatus'],"Ploceus cucullatus (Statius Muller, 1776)",SPECIES,2494058
Ploceus cucullatus collaris,['Ploceus cucullatus collaris'],"Ploceus cucullatus collaris Vieillot, 1819",SUBSPECIES,6541135
Ploceus cucullatus [cucullatus Group],"['Ploceus cucullatus cucullatus', 'Ploceus cucullatus bohndorffi', 'Ploceus cucullatus frobenii', 'Ploceus cucullatus abyssinicus']","['Ploceus cucullatus cucullatus', 'Ploceus cucullatus bohndorffi Reichenow, 1887', 'Ploceus cucullatus frobenii Reichenow, 1923', 'Ploceus cucullatus abyssinicus (Gmelin, 1789)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[7340978, 6089300, 6089295, 6089289]"
Ploceus cucullatus nigriceps/graueri,"['Ploceus cucullatus graueri', 'Ploceus cucullatus nigriceps']","['Ploceus cucullatus graueri Hartert, 1911', 'Ploceus cucullatus nigriceps (E.L.Layard, 1867)']","['SUBSPECIES', 'SUBSPECIES']","[6089274, 6089267]"
Ploceus cucullatus spilonotus,['Ploceus cucullatus spilonotus'],"Ploceus cucullatus spilonotus Vigors, 1831",SUBSPECIES,6541125
Ploceus grandis,['Ploceus grandis'],"Ploceus grandis (G.R.Gray, 1844)",SPECIES,2494062
Ploceus weynsi,['Ploceus weynsi'],"Ploceus weynsi (Dubois, 1900)",SPECIES,2494047
Ploceus golandi,['Ploceus golandi'],"Ploceus golandi (S.Clarke, 1913)",SPECIES,2494010
Ploceus dichrocephalus,['Ploceus dichrocephalus'],"Ploceus dichrocephalus (Salvadori, 1896)",SPECIES,5788939
Ploceus melanocephalus,['Ploceus melanocephalus'],"Ploceus melanocephalus (Linnaeus, 1758)",SPECIES,2494070
Ploceus jacksoni,['Ploceus jacksoni'],"Ploceus jacksoni Shelley, 1888",SPECIES,2494066
Ploceus rubiginosus,['Ploceus rubiginosus'],"Ploceus rubiginosus Rüppell, 1840",SPECIES,2494071
Ploceus rubiginosus trothae,['Ploceus rubiginosus trothae'],"Ploceus rubiginosus trothae Reichenow, 1905",SUBSPECIES,6089163
Ploceus rubiginosus rubiginosus,['Ploceus rubiginosus rubiginosus'],Ploceus rubiginosus rubiginosus,SUBSPECIES,6089157
Ploceus badius,['Ploceus badius'],"Ploceus badius (Cassin, 1850)",SPECIES,2494009
Ploceus aureonucha,['Ploceus aureonucha'],"Ploceus aureonucha Sassi, 1920",SPECIES,2494020
Ploceus tricolor,['Ploceus tricolor'],"Ploceus tricolor (Hartlaub, 1854)",SPECIES,2494024
Ploceus albinucha,['Ploceus albinucha'],"Ploceus albinucha (Bocage, 1876)",SPECIES,2494069
Ploceus albinucha albinucha,['Ploceus albinucha albinucha'],Ploceus albinucha albinucha,SUBSPECIES,7340948
Ploceus albinucha maxwelli/holomelas,"['Ploceus albinucha maxwelli', 'Ploceus albinucha holomelas']","['Ploceus albinucha maxwelli (Alexander, 1903)', 'Ploceus albinucha holomelas Sassi, 1920']","['SUBSPECIES', 'SUBSPECIES']","[6089099, 6089091]"
Ploceus bicolor,['Ploceus bicolor'],"Ploceus bicolor Vieillot, 1819",SPECIES,2494065
Ploceus insignis,['Ploceus insignis'],"Ploceus insignis (Sharpe, 1891)",SPECIES,2494032
Ploceus dorsomaculatus,['Ploceus dorsomaculatus'],"Ploceus dorsomaculatus (Reichenow, 1893)",SPECIES,2494038
Ploceus preussi,['Ploceus preussi'],"Ploceus preussi (Reichenow, 1892)",SPECIES,2494046
Ploceus olivaceiceps,['Ploceus olivaceiceps'],"Ploceus olivaceiceps (Reichenow, 1899)",SPECIES,2494023
Ploceus nicolli,['Ploceus nicolli'],"Ploceus nicolli W.L.Sclater, 1931",SPECIES,2494011
Ploceus angolensis,['Ploceus angolensis'],"Ploceus angolensis (Bocage, 1878)",SPECIES,2494037
Ploceus sanctithomae,['Ploceus sanctithomae'],"Ploceus sanctithomae (Hartlaub, 1848)",SPECIES,2494039
Ploceus nelicourvi,['Ploceus nelicourvi'],"Ploceus nelicourvi (Scopoli, 1786)",SPECIES,2494050
Ploceus sakalava,['Ploceus sakalava'],"Ploceus sakalava Hartlaub, 1861",SPECIES,2494051
Ploceus manyar,['Ploceus manyar'],"Ploceus manyar (Horsfield, 1821)",SPECIES,2494036
Ploceus philippinus,['Ploceus philippinus'],"Ploceus philippinus (Linnaeus, 1766)",SPECIES,2494056
Ploceus hypoxanthus,['Ploceus hypoxanthus'],"Ploceus hypoxanthus (Sparrman, 1788)",SPECIES,2494041
Ploceus megarhynchus,['Ploceus megarhynchus'],"Ploceus megarhynchus Hume, 1869",SPECIES,2494017
Ploceus benghalensis,['Ploceus benghalensis'],"Ploceus benghalensis (Linnaeus, 1758)",SPECIES,2494022
Pachyphantes superciliosus,['Pachyphantes superciliosus'],"Pachyphantes superciliosus (Shelley, 1873)",SPECIES,2494104
Quelea cardinalis,['Quelea cardinalis'],"Quelea cardinalis (Hartlaub, 1880)",SPECIES,2493989
Quelea erythrops,['Quelea erythrops'],"Quelea erythrops (Hartlaub, 1848)",SPECIES,2493988
Quelea quelea,['Quelea quelea'],"Quelea quelea (Linnaeus, 1758)",SPECIES,2493987
Brachycope anomala,['Brachycope anomala'],"Brachycope anomala (Reichenow, 1887)",SPECIES,2494007
Foudia madagascariensis,['Foudia madagascariensis'],"Foudia madagascariensis (Linnaeus, 1766)",SPECIES,2494077
Foudia aldabrana,['Foudia aldabrana'],"Foudia aldabrana Ridgway, 1893",SPECIES,6100866
Foudia eminentissima,['Foudia eminentissima'],"Foudia eminentissima Bonaparte, 1850",SPECIES,9557553
Foudia eminentissima consobrina,['Foudia eminentissima consobrina'],"Foudia eminentissima consobrina Milne-Edwards & Oustalet, 1885",SUBSPECIES,6088728
Foudia eminentissima [eminentissima Group],"['Foudia eminentissima anjuanensis', 'Foudia eminentissima eminentissima', 'Foudia eminentissima algondae']","['Foudia eminentissima anjuanensis (Milne-Edwards & Oustalet, 1888)', 'Foudia eminentissima eminentissima', 'Foudia eminentissima algondae (Schlegel, 1867)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6088721, 8962559, 6088704]"
Foudia omissa,['Foudia omissa'],"Foudia omissa Rothschild, 1912",SPECIES,2494080
Foudia delloni,['Foudia delloni'],"Foudia delloni Cheke & Hume, 2008",SPECIES,7683255
Foudia rubra,['Foudia rubra'],"Foudia rubra (Gmelin, 1789)",SPECIES,2494078
Foudia sechellarum,['Foudia sechellarum'],"Foudia sechellarum E.Newton, 1867",SPECIES,2494076
Foudia flavicans,['Foudia flavicans'],"Foudia flavicans A.Newton, 1865",SPECIES,2494079
Euplectes franciscanus,['Euplectes franciscanus'],"Euplectes franciscanus (Isert, 1789)",SPECIES,2494086
Euplectes orix,['Euplectes orix'],"Euplectes orix (Linnaeus, 1758)",SPECIES,2494088
Euplectes nigroventris,['Euplectes nigroventris'],"Euplectes nigroventris Cassin, 1848",SPECIES,2494102
Euplectes hordeaceus,['Euplectes hordeaceus'],"Euplectes hordeaceus (Linnaeus, 1758)",SPECIES,2494101
Euplectes gierowii,['Euplectes gierowii'],"Euplectes gierowii Cabanis, 1880",SPECIES,2494100
Euplectes afer,['Euplectes afer'],"Euplectes afer (Gmelin, 1789)",SPECIES,2494097
Euplectes diadematus,['Euplectes diadematus'],"Euplectes diadematus Fischer & Reichenow, 1878",SPECIES,2494093
Euplectes aureus,['Euplectes aureus'],"Euplectes aureus (Gmelin, 1789)",SPECIES,2494087
Euplectes capensis,['Euplectes capensis'],"Euplectes capensis (Linnaeus, 1766)",SPECIES,2494099
Euplectes capensis phoenicomerus,['Euplectes capensis phoenicomerus'],"Euplectes capensis phoenicomerus G.R.Gray, 1862",SUBSPECIES,6088557
Euplectes capensis xanthomelas,['Euplectes capensis xanthomelas'],"Euplectes capensis xanthomelas Rüppell, 1840",SUBSPECIES,6088530
Euplectes capensis [capensis Group],"['Euplectes capensis crassirostris', 'Euplectes capensis angolensis', 'Euplectes capensis approximans', 'Euplectes capensis capensis']","['Euplectes capensis crassirostris (Ogilvie-Grant, 1907)', 'Euplectes capensis angolensis Neunzig, 1928', 'Euplectes capensis approximans (Cabanis, 1851)', 'Euplectes capensis capensis']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6088548, 6088523, 6088516, 6088508]"
Euplectes albonotatus,['Euplectes albonotatus'],"Euplectes albonotatus (Cassin, 1848)",SPECIES,2494091
Euplectes macroura,['Euplectes macroura'],"Euplectes macroura (Gmelin, 1789)",SPECIES,7340811
Euplectes macroura macrocercus,['Euplectes macroura macrocercus'],"Euplectes macroura macrocercus (Lichtenstein, 1823)",SUBSPECIES,6088449
Euplectes macroura macroura/conradsi,"['Euplectes macroura macroura', 'Euplectes macroura conradsi']","['Euplectes macroura macroura', 'Euplectes macroura conradsi (Berger, 1908)']","['SUBSPECIES', 'SUBSPECIES']","[7340812, 6088439]"
Euplectes laticauda,['Euplectes laticauda'],"Euplectes laticauda (Lichtenstein & Mhc, 1823)",SPECIES,10941780
Euplectes ardens,['Euplectes ardens'],"Euplectes ardens (Boddaert, 1783)",SPECIES,2494098
Euplectes axillaris,['Euplectes axillaris'],"Euplectes axillaris (A.Smith, 1838)",SPECIES,2494092
Euplectes hartlaubi,['Euplectes hartlaubi'],"Euplectes hartlaubi (Bocage, 1878)",SPECIES,2494094
Euplectes psammacromius,['Euplectes psammacromius'],"Euplectes psammacromius (Reichenow, 1900)",SPECIES,6100867
Euplectes progne,['Euplectes progne'],"Euplectes progne (Boddaert, 1783)",SPECIES,2494090
Euplectes jacksoni,['Euplectes jacksoni'],"Euplectes jacksoni (Sharpe, 1891)",SPECIES,2494089
Amblyospiza albifrons,['Amblyospiza albifrons'],"Amblyospiza albifrons (Vigors, 1831)",SPECIES,2494005
Heteromunia pectoralis,['Heteromunia pectoralis'],"Heteromunia pectoralis (Gould, 1841)",SPECIES,2493649
Oreostruthus fuliginosus,['Oreostruthus fuliginosus'],"Oreostruthus fuliginosus (De Vis, 1897)",SPECIES,2493742
Stagonopleura guttata,['Stagonopleura guttata'],"Stagonopleura guttata (Shaw, 1796)",SPECIES,2493733
Stagonopleura oculata,['Stagonopleura oculata'],"Stagonopleura oculata (Quoy & Gaimard, 1830)",SPECIES,2493732
Stagonopleura bella,['Stagonopleura bella'],"Stagonopleura bella (Latham, 1802)",SPECIES,2493731
Neochmia phaeton,['Neochmia phaeton'],"Neochmia phaeton (Hombron & Jacquinot, 1841)",SPECIES,2493738
Neochmia phaeton evangelinae,['Neochmia phaeton evangelinae'],"Neochmia phaeton evangelinae Albertis & Salvadori, 1879",SUBSPECIES,6086737
Neochmia phaeton phaeton,['Neochmia phaeton phaeton'],Neochmia phaeton phaeton,SUBSPECIES,5845628
Neochmia temporalis,['Neochmia temporalis'],"Neochmia temporalis (Latham, 1802)",SPECIES,2493737
Emblema pictum,['Emblema pictum'],"Emblema pictum Gould, 1842",SPECIES,5231426
Emblema ruficauda,['Emblema ruficauda'],,,
Emblema modesta,['Emblema modesta'],,,
Stizoptera bichenovii,['Stizoptera bichenovii'],"Stizoptera bichenovii (Vigors & Horsfield, 1827)",SPECIES,10968431
Taeniopygia guttata,['Taeniopygia guttata'],"Taeniopygia guttata (Vieillot, 1817)",SPECIES,2493633
Taeniopygia guttata guttata,['Taeniopygia guttata guttata'],Taeniopygia guttata guttata,SUBSPECIES,7340425
Taeniopygia guttata castanotis,['Taeniopygia guttata castanotis'],"Taeniopygia guttata castanotis (Gould, 1837)",SUBSPECIES,6540505
Poephila personata,['Poephila personata'],"Poephila personata Gould, 1842",SPECIES,5231423
Poephila personata personata,['Poephila personata personata'],Poephila personata personata,SUBSPECIES,7340415
Poephila personata leucotis,['Poephila personata leucotis'],"Poephila personata leucotis Gould, 1847",SUBSPECIES,6086637
Poephila acuticauda,['Poephila acuticauda'],"Poephila acuticauda (Gould, 1840)",SPECIES,5231425
Poephila cincta,['Poephila cincta'],"Poephila cincta (Gould, 1837)",SPECIES,5231424
Poephila cincta atropygialis,['Poephila cincta atropygialis'],"Poephila cincta atropygialis Diggles, 1876",SUBSPECIES,6086609
Poephila cincta cincta,['Poephila cincta cincta'],Poephila cincta cincta,SUBSPECIES,5845603
Spermestes griseicapilla,['Spermestes griseicapilla'],"Spermestes griseicapilla (Delacour, 1943)",SPECIES,10819721
Spermestes cucullata,['Spermestes cucullata'],"Spermestes cucullata Swainson, 1837",SPECIES,7780850
Spermestes fringilloides,['Spermestes fringilloides'],"Spermestes fringilloides (Lafresnaye, 1835)",SPECIES,5845615
Spermestes bicolor,['Spermestes bicolor'],"Spermestes bicolor (Fraser, 1843)",SPECIES,7340345
Spermestes bicolor bicolor/poensis,"['Spermestes bicolor bicolor', 'Spermestes bicolor poensis']","['Spermestes bicolor bicolor', 'Spermestes bicolor poensis (Fraser, 1843)']","['SUBSPECIES', 'SUBSPECIES']","[7340346, 6086334]"
Spermestes bicolor nigriceps/woltersi,"['Spermestes bicolor nigriceps', 'Spermestes bicolor woltersi']","['Spermestes bicolor nigriceps Cassin, 1852', 'Spermestes bicolor woltersi (Schouteden, 1956)']","['SUBSPECIES', 'SUBSPECIES']","[6086321, 6086313]"
Lepidopygia nana,['Lepidopygia nana'],"Lepidopygia nana (Pucheran, 1845)",SPECIES,8853587
Euodice cantans,['Euodice cantans'],"Euodice cantans (Gmelin, 1789)",SPECIES,7340335
Euodice malabarica,['Euodice malabarica'],"Euodice malabarica (Linnaeus, 1758)",SPECIES,5789082
Padda oryzivora,['Padda oryzivora'],"Padda oryzivora (Linnaeus, 1758)",SPECIES,2493591
Padda fuscata,['Padda fuscata'],"Padda fuscata (Vieillot, 1807)",SPECIES,2493592
Mayrimunia tristissima,['Mayrimunia tristissima'],"Mayrimunia tristissima (Wallace, 1865)",SPECIES,11313482
Mayrimunia leucosticta,['Mayrimunia leucosticta'],"Mayrimunia leucosticta (D'Albertis & Salvadori, 1879)",SPECIES,11307930
Lonchura punctulata,['Lonchura punctulata'],"Lonchura punctulata (Linnaeus, 1758)",SPECIES,2493598
Lonchura punctulata punctulata,['Lonchura punctulata punctulata'],Lonchura punctulata punctulata,SUBSPECIES,7340302
Lonchura punctulata [nisoria Group],"['Lonchura punctulata subundulata', 'Lonchura punctulata yunnanensis', 'Lonchura punctulata topela', 'Lonchura punctulata cabanisi', 'Lonchura punctulata fretensis', 'Lonchura punctulata nisoria', 'Lonchura punctulata sumbae', 'Lonchura punctulata blasii', 'Lonchura punctulata particeps', 'Lonchura punctulata baweana', 'Lonchura punctulata holmesi']","['Lonchura punctulata subundulata (Godwin-Austen, 1874)', 'Lonchura punctulata yunnanensis Parkes, 1958', 'Lonchura punctulata topela (Swinhoe, 1863)', 'Lonchura punctulata cabanisi (Sharpe, 1890)', 'Lonchura punctulata fretensis (Kloss, 1931)', 'Lonchura punctulata nisoria (Temminck, 1830)', 'Lonchura punctulata sumbae Mayr, 1944', 'Lonchura punctulata blasii (Stresemann, 1912)', 'Lonchura punctulata particeps (Riley, 1920)', 'Lonchura punctulata baweana Hoogerwerf, 1963', 'Lonchura punctulata holmesi Restall, 1992']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6086166, 6086161, 5793164, 6086150, 6086142, 6086136, 6086132, 6086127, 6086121, 6086113, 6086100]"
Lonchura kelaarti,['Lonchura kelaarti'],"Lonchura kelaarti (Jerdon, 1863)",SPECIES,2493608
Lonchura molucca,['Lonchura molucca'],"Lonchura molucca (Linnaeus, 1766)",SPECIES,2493600
Lonchura striata,['Lonchura striata'],"Lonchura striata (Linnaeus, 1766)",SPECIES,2493618
Lonchura fuscans,['Lonchura fuscans'],"Lonchura fuscans (Cassin, 1852)",SPECIES,2493619
Lonchura leucogastra,['Lonchura leucogastra'],"Lonchura leucogastra (Blyth, 1846)",SPECIES,2493597
