cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
823d87fffffffff,701.0,0.0,0.0,0.0,0.0
823d8ffffffffff,38.0,0.0,0.0,0.0,0.0
823d97fffffffff,39.0,0.0,0.0,0.0,0.0
823d9ffffffffff,237.0,0.0,0.0,0.0,0.0
823da7fffffffff,298.0,0.0,0.0,0.0,0.0
823daffffffffff,276.0,0.0,0.0,0.0,0.0
823db7fffffffff,153.0,0.0,0.0,0.0,0.0
823e47fffffffff,153.0,0.0,0.0,0.0,0.0
823e4ffffffffff,28.0,0.0,0.0,0.0,0.0
823e5ffffffffff,146.0,0.0,0.0,0.0,0.0
823e67fffffffff,6.0,0.0,0.0,0.0,0.0
823e6ffffffffff,872.0,93.0,0.0,0.0,0.0
823e77fffffffff,5.0,0.0,0.0,0.0,0.0
823eeffffffffff,5.0,0.0,0.0,0.0,0.0
823f2ffffffffff,54.0,0.0,0.0,0.0,0.0
823f37fffffffff,26.0,0.0,0.0,0.0,0.0
823f47fffffffff,9.0,0.0,0.0,0.0,0.0
823f4ffffffffff,3.0,0.0,0.0,0.0,0.0
823f5ffffffffff,1.0,0.0,0.0,0.0,0.0
823f67fffffffff,25.0,2.0,0.0,0.0,0.0
823f6ffffffffff,10.0,0.0,0.0,0.0,0.0
823f77fffffffff,23.0,0.0,0.0,0.0,0.0
824007fffffffff,2.0,2.0,0.0,0.0,0.0
824047fffffffff,2.0,2.0,0.0,0.0,0.0
82404ffffffffff,5.0,3.0,0.0,0.0,0.0
824097fffffffff,2.0,0.0,0.0,0.0,0.0
8240e7fffffffff,6.0,2.0,0.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0,0.0,0.0
82410ffffffffff,4.0,0.0,0.0,0.0,0.0
824117fffffffff,10.0,0.0,0.0,0.0,0.0
82411ffffffffff,774.0,61.0,0.0,0.0,0.0
824137fffffffff,17.0,0.0,0.0,0.0,0.0
824147fffffffff,9.0,0.0,0.0,0.0,0.0
824157fffffffff,7.0,0.0,0.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0,0.0
