cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
8426d6dffffffff,3.0,0.0,0.0
8426d8bffffffff,2.0,0.0,0.0
8426d95ffffffff,25.0,0.0,4.0
8426d99ffffffff,1.0,0.0,0.0
8426dc3ffffffff,2.0,0.0,0.0
8426dd5ffffffff,2.0,0.0,0.0
8426dd7ffffffff,3.0,0.0,0.0
8426dd9ffffffff,1.0,0.0,0.0
8426ddbffffffff,7.0,0.0,0.0
8426e01ffffffff,6.0,0.0,1.0
8426e05ffffffff,2.0,0.0,0.0
8426e0bffffffff,4.0,0.0,0.0
8426e11ffffffff,2.0,0.0,0.0
8426e13ffffffff,2.0,0.0,0.0
8426e17ffffffff,2.0,0.0,0.0
8426e21ffffffff,509.0,0.0,32.0
8426e23ffffffff,13.0,0.0,0.0
8426e27ffffffff,5.0,0.0,3.0
8426e2bffffffff,3.0,0.0,0.0
8426e2dffffffff,494.0,0.0,59.0
8426e33ffffffff,4.0,0.0,0.0
8426e3dffffffff,10.0,0.0,0.0
8426e41ffffffff,7.0,0.0,0.0
8426e43ffffffff,38.0,0.0,9.0
8426e47ffffffff,21.0,0.0,0.0
8426e51ffffffff,7.0,0.0,0.0
8426e53ffffffff,2.0,0.0,0.0
8426e57ffffffff,5.0,0.0,0.0
8426e59ffffffff,34.0,0.0,0.0
8426e5bffffffff,74.0,0.0,17.0
8426e5dffffffff,1.0,0.0,0.0
8426e63ffffffff,2.0,0.0,0.0
8426e67ffffffff,9.0,0.0,4.0
8426e69ffffffff,13.0,0.0,0.0
8426e6bffffffff,4.0,0.0,0.0
8426e85ffffffff,2.0,0.0,0.0
8426e9dffffffff,9.0,0.0,2.0
8426eb9ffffffff,6.0,0.0,2.0
8426ec1ffffffff,2.0,0.0,0.0
8426ec5ffffffff,1.0,0.0,0.0
8426ecdffffffff,8.0,0.0,2.0
8426ed5ffffffff,9.0,0.0,0.0
8426ed7ffffffff,12.0,0.0,0.0
8426ee1ffffffff,4.0,0.0,0.0
8426ee3ffffffff,8.0,0.0,0.0
8426ee9ffffffff,2.0,0.0,0.0
8426eedffffffff,4.0,0.0,0.0
8426f01ffffffff,2.0,0.0,0.0
8426f0bffffffff,4.0,0.0,0.0
8426f0dffffffff,2.0,0.0,2.0
8426f11ffffffff,4.0,0.0,2.0
8426f13ffffffff,7.0,0.0,0.0
8426f15ffffffff,7.0,0.0,0.0
8426f17ffffffff,17.0,0.0,4.0
8426f1bffffffff,8.0,0.0,0.0
8426f1dffffffff,2.0,0.0,0.0
8426f21ffffffff,9.0,0.0,0.0
8426f25ffffffff,64.0,0.0,7.0
8426f27ffffffff,18.0,0.0,4.0
