cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
84a8917ffffffff,1.0,0.0,0.0
84a8919ffffffff,5.0,0.0,0.0
84a89ddffffffff,2.0,0.0,0.0
84a89e3ffffffff,2.0,0.0,0.0
84a89edffffffff,2.0,0.0,0.0
84a8a07ffffffff,7.0,0.0,0.0
84a8a11ffffffff,16.0,0.0,0.0
84a8a13ffffffff,200.0,0.0,0.0
84a8a15ffffffff,2.0,0.0,0.0
84a8a17ffffffff,72.0,0.0,0.0
84a8a19ffffffff,11.0,0.0,0.0
84a8a1bffffffff,5.0,0.0,2.0
84a8a23ffffffff,44.0,0.0,0.0
84a8a27ffffffff,12.0,0.0,0.0
84a8a31ffffffff,8.0,0.0,0.0
84a8a33ffffffff,12.0,0.0,0.0
84a8a35ffffffff,14.0,0.0,0.0
84a8a39ffffffff,2.0,0.0,0.0
84a8a3bffffffff,2.0,0.0,0.0
84a8a3dffffffff,22.0,0.0,0.0
84a8a53ffffffff,9.0,0.0,0.0
84a8a81ffffffff,1.0,0.0,0.0
84a8a85ffffffff,5.0,0.0,0.0
84a8a89ffffffff,1.0,0.0,0.0
84a8a8bffffffff,2.0,0.0,0.0
84a8a8dffffffff,1.0,0.0,0.0
84a8a91ffffffff,34.0,0.0,0.0
84a8a93ffffffff,3.0,0.0,0.0
84a8a95ffffffff,5.0,0.0,0.0
84a8a97ffffffff,53.0,0.0,0.0
84a8a99ffffffff,2.0,0.0,0.0
84a8aa1ffffffff,2.0,0.0,0.0
84a8aa5ffffffff,8.0,0.0,0.0
84a8aa7ffffffff,2.0,0.0,0.0
84a8aadffffffff,57.0,0.0,0.0
84a8ac1ffffffff,2.0,0.0,0.0
84a8ac5ffffffff,19.0,0.0,0.0
84a8ac9ffffffff,32.0,0.0,0.0
84a8acbffffffff,7.0,0.0,0.0
84a8acdffffffff,21.0,0.0,0.0
84a8ad1ffffffff,1.0,0.0,0.0
84a8ad3ffffffff,2.0,0.0,0.0
84a8ad5ffffffff,2.0,0.0,0.0
84a8ad9ffffffff,1.0,0.0,0.0
84a8adbffffffff,1.0,0.0,0.0
84a8ae1ffffffff,10.0,0.0,0.0
84a8ae3ffffffff,6.0,0.0,0.0
84a8ae5ffffffff,17.0,0.0,0.0
84a8ae9ffffffff,3.0,0.0,0.0
84a8aebffffffff,1.0,0.0,0.0
84a8aedffffffff,2.0,0.0,0.0
84a8b1bffffffff,2.0,0.0,0.0
84a8c01ffffffff,9.0,0.0,0.0
84a8c03ffffffff,6.0,0.0,0.0
84a8c05ffffffff,13.0,0.0,0.0
84a8c0dffffffff,6.0,0.0,0.0
84a8c1dffffffff,1.0,0.0,0.0
84a8c23ffffffff,7.0,0.0,0.0
84a8c25ffffffff,16.0,0.0,0.0
84a8c27ffffffff,3.0,0.0,0.0
84a8c39ffffffff,2.0,0.0,0.0
84a8c63ffffffff,2.0,0.0,0.0
84a8c9bffffffff,1.0,0.0,0.0
84a8d05ffffffff,1.0,0.0,0.0
84a8d19ffffffff,14.0,0.0,0.0
84a8d1bffffffff,5.0,0.0,0.0
84a8d35ffffffff,24.0,0.0,0.0
84a8d37ffffffff,3.0,0.0,0.0
84a8d45ffffffff,2.0,0.0,0.0
84a8da9ffffffff,6.0,0.0,0.0
84a8db5ffffffff,2.0,0.0,0.0
84a8de1ffffffff,17.0,0.0,0.0
84a8de3ffffffff,21.0,0.0,0.0
84a8de7ffffffff,2.0,0.0,0.0
84a8de9ffffffff,8.0,0.0,0.0
84a8debffffffff,15.0,0.0,0.0
84a8e47ffffffff,1.0,0.0,0.0
84a8e55ffffffff,3.0,0.0,0.0
84a8e65ffffffff,1.0,0.0,0.0
84a8e69ffffffff,2.0,0.0,0.0
84a8e6bffffffff,2.0,0.0,0.0
84a8e6dffffffff,6.0,0.0,0.0
84a8eb9ffffffff,1.0,0.0,0.0
84a8ec9ffffffff,24.0,0.0,0.0
84a8ecbffffffff,1.0,0.0,0.0
84a8f05ffffffff,1.0,0.0,0.0
84a8f0bffffffff,4.0,0.0,0.0
84a8f1bffffffff,6.0,0.0,0.0
84a8f41ffffffff,4.0,0.0,0.0
84a8f43ffffffff,1.0,0.0,0.0
84a8f4dffffffff,6.0,0.0,0.0
84a8f57ffffffff,6.0,0.0,0.0
84a8f63ffffffff,2.0,0.0,0.0
84a9007ffffffff,2.0,0.0,0.0
84a9013ffffffff,21.0,0.0,0.0
84a9015ffffffff,2.0,0.0,0.0
84a9017ffffffff,6.0,0.0,0.0
84a9033ffffffff,2.0,0.0,0.0
84a9051ffffffff,16.0,0.0,0.0
84a9057ffffffff,2.0,0.0,0.0
84a908dffffffff,2.0,0.0,0.0
84a9095ffffffff,23.0,0.0,0.0
84a909dffffffff,11.0,0.0,0.0
84a90a5ffffffff,1.0,0.0,0.0
84a90a7ffffffff,2.0,0.0,0.0
84a90adffffffff,6.0,0.0,0.0
84a90b9ffffffff,2.0,0.0,0.0
84a90bbffffffff,2.0,0.0,0.0
84a90c3ffffffff,2.0,0.0,0.0
84a90c9ffffffff,4.0,0.0,0.0
84a90cdffffffff,4.0,0.0,0.0
84a90d5ffffffff,4.0,0.0,0.0
84a90e1ffffffff,10.0,0.0,0.0
84a90e5ffffffff,48.0,0.0,0.0
84a90e9ffffffff,7.0,0.0,0.0
84a90ebffffffff,1.0,0.0,0.0
84a918bffffffff,15.0,0.0,0.0
84a9191ffffffff,86.0,0.0,0.0
84a9193ffffffff,2.0,0.0,0.0
84a9195ffffffff,23.0,0.0,0.0
84a9199ffffffff,2.0,0.0,0.0
84a919bffffffff,3.0,0.0,0.0
84a919dffffffff,1.0,0.0,0.0
84a91b1ffffffff,24.0,0.0,0.0
84a91b3ffffffff,2.0,0.0,0.0
84a91b5ffffffff,23.0,0.0,0.0
84a91b7ffffffff,35.0,0.0,0.0
84a91b9ffffffff,4.0,0.0,0.0
84a91bbffffffff,4.0,0.0,0.0
84a91d1ffffffff,4.0,0.0,0.0
84a91d7ffffffff,4.0,0.0,0.0
84a91d9ffffffff,61.0,0.0,0.0
84a91dbffffffff,12.0,0.0,0.0
84a9213ffffffff,1.0,0.0,0.0
84a9291ffffffff,8.0,0.0,0.0
84a92adffffffff,2.0,0.0,0.0
84a92c3ffffffff,2.0,0.0,0.0
84a92c5ffffffff,9.0,0.0,0.0
84a92c9ffffffff,1.0,0.0,0.0
84a92cbffffffff,324.0,0.0,0.0
84a92cdffffffff,9.0,0.0,0.0
84a92d1ffffffff,4.0,0.0,0.0
84a92d7ffffffff,3.0,0.0,0.0
84a92ddffffffff,14.0,0.0,0.0
84a92e1ffffffff,6.0,0.0,0.0
84a92e3ffffffff,6.0,0.0,0.0
84a92e9ffffffff,3.0,0.0,0.0
84a92ebffffffff,33.0,0.0,0.0
84a940dffffffff,4.0,0.0,0.0
84a9411ffffffff,7.0,0.0,0.0
84a9413ffffffff,5.0,0.0,0.0
84a9417ffffffff,2.0,0.0,0.0
84a9419ffffffff,5.0,0.0,0.0
84a941bffffffff,13.0,0.0,0.0
84a9425ffffffff,22.0,0.0,0.0
84a9427ffffffff,2.0,0.0,0.0
84a943dffffffff,6.0,0.0,0.0
84a9441ffffffff,76.0,0.0,0.0
84a9443ffffffff,11.0,0.0,0.0
84a9445ffffffff,22.0,0.0,0.0
84a9447ffffffff,15.0,0.0,0.0
84a9449ffffffff,5.0,0.0,0.0
84a944bffffffff,5.0,0.0,0.0
84a944dffffffff,5.0,0.0,0.0
84a9451ffffffff,2.0,0.0,0.0
84a945bffffffff,4.0,0.0,0.0
84a9461ffffffff,9.0,0.0,0.0
84a9463ffffffff,3.0,0.0,0.0
84a9465ffffffff,30.0,0.0,0.0
84a9467ffffffff,1.0,0.0,0.0
84a946bffffffff,26.0,0.0,0.0
84a94c1ffffffff,2.0,0.0,0.0
84a94c3ffffffff,5.0,0.0,0.0
84a94c5ffffffff,5.0,0.0,0.0
84a94c7ffffffff,7.0,0.0,0.0
