cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
84122e5ffffffff,1.0,0.0,0.0,0.0
84122e9ffffffff,6.0,0.0,0.0,0.0
8412301ffffffff,3.0,0.0,0.0,0.0
8412303ffffffff,1.0,0.0,0.0,0.0
8412307ffffffff,2.0,0.0,0.0,0.0
841232bffffffff,6.0,0.0,0.0,0.0
8412331ffffffff,2.0,0.0,0.0,0.0
8412337ffffffff,1.0,0.0,0.0,0.0
8412339ffffffff,3.0,0.0,0.0,0.0
841233dffffffff,24.0,0.0,0.0,0.0
8412357ffffffff,2.0,0.0,0.0,0.0
8412369ffffffff,1.0,0.0,0.0,0.0
841236dffffffff,1.0,0.0,0.0,0.0
841241dffffffff,3.0,0.0,0.0,0.0
8412421ffffffff,6.0,0.0,0.0,0.0
8412423ffffffff,2.0,0.0,0.0,0.0
841242bffffffff,6.0,0.0,0.0,0.0
8412433ffffffff,55.0,0.0,0.0,0.0
8412435ffffffff,2.0,0.0,0.0,0.0
8412437ffffffff,14.0,0.0,0.0,0.0
841243bffffffff,8.0,0.0,0.0,0.0
8412445ffffffff,11.0,0.0,0.0,0.0
841244bffffffff,2.0,0.0,0.0,0.0
841244dffffffff,8.0,0.0,0.0,0.0
8412457ffffffff,2.0,0.0,0.0,0.0
841246bffffffff,6.0,0.0,0.0,0.0
8412481ffffffff,3.0,0.0,0.0,0.0
8412483ffffffff,2.0,0.0,0.0,0.0
8412487ffffffff,3.0,0.0,0.0,0.0
8412489ffffffff,2.0,0.0,0.0,0.0
841248bffffffff,3.0,0.0,0.0,0.0
8412495ffffffff,1.0,0.0,0.0,0.0
8412499ffffffff,1.0,0.0,0.0,0.0
841249bffffffff,2.0,0.0,0.0,0.0
841249dffffffff,6.0,0.0,0.0,0.0
84124a9ffffffff,3.0,0.0,0.0,0.0
84124adffffffff,4.0,0.0,0.0,0.0
84124bbffffffff,1.0,0.0,0.0,0.0
84124c9ffffffff,6.0,0.0,0.0,0.0
84124cdffffffff,1.0,0.0,0.0,0.0
84124d1ffffffff,3.0,0.0,0.0,0.0
84124d7ffffffff,2.0,0.0,0.0,0.0
84124d9ffffffff,1.0,0.0,0.0,0.0
84124dbffffffff,6.0,0.0,0.0,0.0
84124e1ffffffff,5.0,0.0,0.0,0.0
84124e5ffffffff,16.0,0.0,0.0,0.0
84124e9ffffffff,2.0,0.0,0.0,0.0
84124edffffffff,4.0,0.0,0.0,0.0
8412501ffffffff,17.0,0.0,0.0,0.0
8412505ffffffff,12.0,0.0,0.0,0.0
8412507ffffffff,6.0,0.0,0.0,0.0
8412509ffffffff,22.0,0.0,0.0,0.0
841250bffffffff,3.0,0.0,0.0,0.0
8412511ffffffff,26.0,0.0,0.0,0.0
8412513ffffffff,1.0,0.0,0.0,0.0
8412515ffffffff,119.0,0.0,0.0,0.0
8412517ffffffff,4.0,0.0,0.0,0.0
841251bffffffff,5.0,0.0,0.0,0.0
841251dffffffff,92.0,0.0,0.0,0.0
8412521ffffffff,36.0,0.0,0.0,0.0
8412525ffffffff,32.0,0.0,0.0,0.0
8412527ffffffff,36.0,0.0,0.0,0.0
8412529ffffffff,6.0,0.0,0.0,0.0
841252dffffffff,12.0,0.0,0.0,0.0
8412539ffffffff,18.0,0.0,0.0,0.0
841253bffffffff,1.0,0.0,0.0,0.0
841253dffffffff,4.0,0.0,0.0,0.0
8412541ffffffff,3.0,0.0,0.0,0.0
8412543ffffffff,40.0,0.0,0.0,0.0
8412549ffffffff,126.0,0.0,0.0,0.0
841254bffffffff,52.0,0.0,0.0,0.0
8412555ffffffff,92.0,0.0,0.0,0.0
8412561ffffffff,2.0,0.0,0.0,0.0
8412565ffffffff,12.0,0.0,0.0,0.0
8412567ffffffff,3.0,0.0,0.0,0.0
841256dffffffff,3.0,0.0,0.0,0.0
