cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
83261efffffffff,12.0,0.0,0.0,0.0,0.0,0.0
832620fffffffff,1335.0,12.0,0.0,0.0,0.0,0.0
832621fffffffff,3051.0,57.0,0.0,0.0,0.0,0.0
832622fffffffff,154.0,4.0,0.0,0.0,0.0,0.0
832623fffffffff,283.0,7.0,0.0,0.0,0.0,0.0
832624fffffffff,3304.0,65.0,0.0,0.0,0.0,0.0
832625fffffffff,1422.0,9.0,0.0,0.0,0.0,0.0
832626fffffffff,3344.0,413.0,0.0,0.0,0.0,0.0
832628fffffffff,325.0,8.0,0.0,0.0,0.0,0.0
832629fffffffff,550.0,4.0,0.0,0.0,0.0,0.0
83262afffffffff,60.0,3.0,0.0,0.0,0.0,0.0
83262bfffffffff,984.0,3.0,0.0,0.0,0.0,0.0
83262cfffffffff,11850.0,270.0,0.0,0.0,0.0,0.0
83262dfffffffff,1316.0,84.0,0.0,0.0,0.0,0.0
83262efffffffff,374.0,10.0,0.0,0.0,0.0,0.0
832630fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
832631fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
832632fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
832633fffffffff,108.0,0.0,0.0,0.0,0.0,0.0
832634fffffffff,529.0,37.0,0.0,0.0,0.0,0.0
832635fffffffff,188.0,53.0,0.0,0.0,0.0,0.0
832636fffffffff,353.0,63.0,0.0,0.0,0.0,0.0
832640fffffffff,866.0,84.0,0.0,0.0,0.0,0.0
832641fffffffff,957.0,255.0,0.0,0.0,0.0,0.0
832642fffffffff,642.0,52.0,0.0,0.0,0.0,0.0
832643fffffffff,1414.0,56.0,0.0,0.0,0.0,0.0
832644fffffffff,134.0,11.0,0.0,0.0,0.0,0.0
832645fffffffff,83.0,27.0,0.0,0.0,0.0,0.0
832646fffffffff,2882.0,320.0,0.0,0.0,0.0,0.0
832648fffffffff,712.0,0.0,0.0,0.0,0.0,0.0
832649fffffffff,467.0,0.0,0.0,0.0,0.0,0.0
83264afffffffff,344.0,0.0,0.0,0.0,0.0,0.0
83264bfffffffff,163.0,0.0,0.0,0.0,0.0,0.0
83264cfffffffff,943.0,39.0,0.0,0.0,0.0,0.0
83264dfffffffff,1374.0,0.0,0.0,0.0,0.0,0.0
83264efffffffff,489.0,7.0,0.0,0.0,0.0,0.0
832650fffffffff,405.0,20.0,0.0,0.0,0.0,0.0
832651fffffffff,523.0,19.0,0.0,0.0,0.0,0.0
832652fffffffff,737.0,53.0,0.0,0.0,0.0,0.0
832653fffffffff,1207.0,27.0,0.0,0.0,0.0,0.0
832654fffffffff,529.0,28.0,0.0,0.0,0.0,0.0
832655fffffffff,2292.0,42.0,0.0,0.0,0.0,0.0
832656fffffffff,2277.0,85.0,0.0,0.0,0.0,0.0
832658fffffffff,94.0,0.0,0.0,0.0,0.0,0.0
832659fffffffff,703.0,8.0,0.0,0.0,0.0,0.0
83265afffffffff,198.0,11.0,0.0,0.0,0.0,0.0
83265bfffffffff,441.0,3.0,0.0,0.0,0.0,0.0
83265cfffffffff,288.0,8.0,0.0,0.0,0.0,0.0
83265dfffffffff,636.0,10.0,0.0,0.0,0.0,0.0
83265efffffffff,326.0,9.0,0.0,0.0,0.0,0.0
832660fffffffff,306.0,16.0,0.0,0.0,0.0,0.0
832661fffffffff,2897.0,101.0,0.0,0.0,0.0,0.0
832662fffffffff,1277.0,33.0,0.0,0.0,0.0,0.0
832663fffffffff,538.0,11.0,0.0,0.0,0.0,0.0
832664fffffffff,11635.0,880.0,0.0,0.0,0.0,0.0
832665fffffffff,990.0,27.0,0.0,0.0,0.0,0.0
832666fffffffff,2994.0,779.0,0.0,0.0,0.0,0.0
832668fffffffff,1527.0,333.0,0.0,0.0,0.0,0.0
832669fffffffff,252.0,68.0,0.0,0.0,0.0,0.0
83266afffffffff,633.0,64.0,0.0,0.0,0.0,0.0
83266bfffffffff,674.0,58.0,0.0,0.0,0.0,0.0
83266cfffffffff,2799.0,361.0,0.0,0.0,0.0,0.0
83266dfffffffff,1530.0,270.0,0.0,0.0,0.0,0.0
83266efffffffff,1016.0,26.0,0.0,0.0,0.0,0.0
832670fffffffff,228.0,0.0,0.0,0.0,0.0,0.0
832671fffffffff,500.0,38.0,0.0,0.0,0.0,0.0
832672fffffffff,193.0,5.0,0.0,0.0,0.0,0.0
832673fffffffff,304.0,3.0,0.0,0.0,0.0,0.0
832674fffffffff,950.0,38.0,0.0,0.0,0.0,0.0
832675fffffffff,464.0,8.0,0.0,0.0,0.0,0.0
832676fffffffff,139.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,391.0,0.0,0.0,160.0,0.0,0.0
832681fffffffff,10021.0,2.0,0.0,2243.0,0.0,0.0
832682fffffffff,30.0,0.0,0.0,7.0,0.0,0.0
832683fffffffff,416.0,0.0,0.0,139.0,0.0,0.0
832684fffffffff,74.0,0.0,0.0,4.0,0.0,0.0
832685fffffffff,1001.0,0.0,0.0,158.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,2723.0,10.0,0.0,388.0,0.0,0.0
832689fffffffff,216.0,11.0,0.0,14.0,0.0,0.0
83268afffffffff,225.0,0.0,0.0,32.0,0.0,0.0
83268bfffffffff,436.0,0.0,0.0,122.0,0.0,0.0
83268cfffffffff,5445.0,34.0,0.0,2204.0,0.0,0.0
83268dfffffffff,138.0,25.0,0.0,0.0,0.0,0.0
83268efffffffff,989.0,0.0,0.0,309.0,0.0,0.0
832690fffffffff,276.0,0.0,0.0,53.0,0.0,0.0
832691fffffffff,19.0,0.0,0.0,4.0,0.0,0.0
832692fffffffff,61.0,0.0,0.0,4.0,0.0,0.0
832693fffffffff,13.0,0.0,0.0,1.0,0.0,0.0
832694fffffffff,235.0,0.0,0.0,15.0,0.0,0.0
832695fffffffff,79.0,0.0,0.0,11.0,0.0,0.0
832696fffffffff,1696.0,0.0,0.0,721.0,0.0,0.0
832698fffffffff,936.0,0.0,0.0,76.0,0.0,0.0
832699fffffffff,918.0,0.0,0.0,105.0,0.0,0.0
83269afffffffff,121.0,0.0,0.0,15.0,0.0,0.0
83269bfffffffff,123.0,0.0,0.0,31.0,0.0,0.0
83269cfffffffff,937.0,0.0,0.0,275.0,0.0,0.0
83269dfffffffff,473.0,0.0,0.0,86.0,0.0,0.0
83269efffffffff,266.0,0.0,0.0,26.0,0.0,0.0
8326a0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326a1fffffffff,183.0,4.0,0.0,0.0,0.0,0.0
8326a2fffffffff,121.0,0.0,0.0,22.0,0.0,0.0
8326a3fffffffff,18.0,0.0,0.0,4.0,0.0,0.0
8326a4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326a5fffffffff,706.0,0.0,0.0,0.0,0.0,0.0
8326a6fffffffff,19.0,0.0,0.0,5.0,0.0,0.0
8326a8fffffffff,649.0,224.0,0.0,0.0,0.0,0.0
8326a9fffffffff,296.0,150.0,0.0,0.0,0.0,0.0
8326aafffffffff,1363.0,99.0,0.0,47.0,0.0,0.0
8326abfffffffff,270.0,118.0,0.0,0.0,0.0,0.0
8326acfffffffff,73.0,4.0,0.0,0.0,0.0,0.0
8326adfffffffff,135.0,62.0,0.0,0.0,0.0,0.0
8326aefffffffff,211.0,9.0,0.0,0.0,0.0,0.0
8326b0fffffffff,114.0,0.0,0.0,9.0,0.0,0.0
8326b1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326b2fffffffff,31.0,0.0,0.0,2.0,0.0,0.0
8326b3fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
