cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8426edbffffffff,1.0,0.0,0.0,0.0
8426eddffffffff,2.0,0.0,0.0,0.0
8426eedffffffff,3.0,0.0,0.0,0.0
8426f05ffffffff,3.0,0.0,0.0,0.0
8426f0dffffffff,3.0,0.0,0.0,0.0
8426f25ffffffff,13.0,0.0,7.0,0.0
8426f27ffffffff,4.0,1.0,0.0,0.0
8426f2dffffffff,12.0,6.0,0.0,0.0
8426f43ffffffff,1.0,0.0,0.0,0.0
8426f65ffffffff,1.0,0.0,0.0,0.0
8426f69ffffffff,2.0,0.0,0.0,0.0
8426f6dffffffff,3.0,0.0,0.0,0.0
8427023ffffffff,11.0,0.0,0.0,0.0
842702bffffffff,9.0,0.0,0.0,0.0
8427085ffffffff,2.0,0.0,0.0,0.0
8427093ffffffff,20.0,0.0,0.0,0.0
8427097ffffffff,4.0,0.0,0.0,2.0
842709dffffffff,1.0,0.0,0.0,0.0
84270b5ffffffff,2.0,0.0,0.0,0.0
84270d7ffffffff,4.0,0.0,0.0,0.0
8427117ffffffff,7.0,0.0,0.0,0.0
842719dffffffff,20.0,0.0,0.0,0.0
84271c9ffffffff,23.0,0.0,0.0,0.0
84271e9ffffffff,2.0,0.0,0.0,0.0
8427409ffffffff,4.0,0.0,0.0,0.0
8427419ffffffff,1.0,0.0,0.0,0.0
842741bffffffff,2.0,0.0,0.0,0.0
842742dffffffff,6.0,0.0,0.0,0.0
8427431ffffffff,2.0,0.0,0.0,0.0
8427435ffffffff,4.0,0.0,0.0,0.0
8427437ffffffff,6.0,0.0,0.0,0.0
8427441ffffffff,3.0,0.0,0.0,0.0
8427445ffffffff,6.0,0.0,0.0,0.0
8427447ffffffff,2.0,0.0,0.0,0.0
8427449ffffffff,1.0,0.0,0.0,0.0
842744bffffffff,1.0,0.0,0.0,0.0
8427461ffffffff,4.0,0.0,0.0,0.0
8427463ffffffff,11.0,0.0,0.0,0.0
8427467ffffffff,11.0,0.0,0.0,0.0
842746dffffffff,2.0,0.0,0.0,0.0
8427481ffffffff,24.0,0.0,0.0,0.0
8427483ffffffff,9.0,0.0,0.0,0.0
8427485ffffffff,17.0,0.0,0.0,0.0
8427487ffffffff,7.0,0.0,0.0,0.0
842748dffffffff,37.0,0.0,0.0,0.0
8427491ffffffff,22.0,0.0,0.0,0.0
8427497ffffffff,2.0,0.0,0.0,0.0
8427499ffffffff,39.0,0.0,0.0,0.0
842749bffffffff,2.0,0.0,0.0,0.0
842749dffffffff,37.0,0.0,0.0,0.0
84274b1ffffffff,23.0,0.0,0.0,0.0
84274b5ffffffff,14.0,0.0,0.0,0.0
84274b7ffffffff,2.0,0.0,0.0,0.0
84274b9ffffffff,30.0,0.0,0.0,0.0
84274c1ffffffff,2.0,0.0,0.0,0.0
84274cbffffffff,3.0,0.0,0.0,0.0
84274d1ffffffff,1.0,0.0,0.0,0.0
84274d3ffffffff,43.0,0.0,0.0,0.0
84274d7ffffffff,25.0,0.0,0.0,0.0
84274d9ffffffff,3.0,0.0,0.0,0.0
84274dbffffffff,14.0,0.0,0.0,0.0
84274e3ffffffff,8.0,0.0,0.0,0.0
8427509ffffffff,6.0,0.0,0.0,4.0
842750bffffffff,7.0,0.0,0.0,0.0
8427513ffffffff,2.0,0.0,0.0,0.0
8427519ffffffff,2.0,0.0,0.0,0.0
842751dffffffff,2.0,0.0,0.0,0.0
8427523ffffffff,1.0,0.0,0.0,0.0
8427525ffffffff,2.0,0.0,0.0,0.0
8427527ffffffff,5.0,0.0,0.0,0.0
8427535ffffffff,2.0,0.0,0.0,0.0
