cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
83264afffffffff,1.0,0.0,0.0,0.0,0.0
83264bfffffffff,31.0,0.0,0.0,0.0,0.0
83264cfffffffff,138.0,0.0,0.0,0.0,0.0
83264dfffffffff,522.0,0.0,0.0,0.0,0.0
83264efffffffff,9.0,0.0,0.0,0.0,0.0
832650fffffffff,17.0,0.0,0.0,0.0,0.0
832651fffffffff,8.0,0.0,0.0,0.0,0.0
832652fffffffff,23.0,0.0,0.0,0.0,0.0
832653fffffffff,12.0,0.0,0.0,0.0,0.0
832654fffffffff,18.0,0.0,0.0,0.0,0.0
832655fffffffff,167.0,0.0,0.0,0.0,0.0
832656fffffffff,53.0,0.0,0.0,0.0,0.0
832658fffffffff,3.0,0.0,0.0,0.0,0.0
832659fffffffff,15.0,0.0,0.0,0.0,0.0
83265afffffffff,4.0,0.0,0.0,0.0,0.0
83265bfffffffff,122.0,0.0,0.0,0.0,0.0
83265cfffffffff,3.0,0.0,0.0,0.0,0.0
83265dfffffffff,119.0,0.0,2.0,0.0,0.0
832660fffffffff,8.0,0.0,0.0,0.0,0.0
832661fffffffff,43.0,0.0,0.0,0.0,0.0
832662fffffffff,18.0,0.0,0.0,0.0,0.0
832663fffffffff,74.0,0.0,0.0,0.0,0.0
832664fffffffff,6093.0,0.0,0.0,0.0,0.0
832665fffffffff,54.0,0.0,0.0,0.0,0.0
832666fffffffff,153.0,0.0,0.0,0.0,0.0
832668fffffffff,1169.0,0.0,0.0,0.0,0.0
83266afffffffff,59.0,0.0,0.0,0.0,0.0
83266bfffffffff,13.0,0.0,0.0,0.0,0.0
83266cfffffffff,47.0,0.0,0.0,0.0,0.0
83266dfffffffff,93.0,0.0,0.0,0.0,0.0
83266efffffffff,211.0,0.0,0.0,0.0,0.0
832670fffffffff,2.0,0.0,0.0,0.0,0.0
832671fffffffff,251.0,0.0,0.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0,0.0,0.0
832674fffffffff,13.0,0.0,0.0,0.0,0.0
832675fffffffff,7.0,0.0,0.0,0.0,0.0
832676fffffffff,3.0,0.0,0.0,0.0,0.0
832680fffffffff,639.0,0.0,0.0,0.0,0.0
832681fffffffff,1570.0,0.0,0.0,0.0,0.0
832684fffffffff,12.0,0.0,0.0,0.0,0.0
832685fffffffff,196.0,0.0,0.0,0.0,0.0
832686fffffffff,22.0,0.0,0.0,0.0,0.0
832688fffffffff,374.0,0.0,0.0,0.0,0.0
832689fffffffff,30.0,0.0,0.0,0.0,0.0
83268afffffffff,359.0,0.0,0.0,0.0,0.0
83268bfffffffff,13.0,0.0,0.0,0.0,0.0
83268cfffffffff,3568.0,0.0,0.0,0.0,0.0
83268dfffffffff,197.0,0.0,0.0,0.0,0.0
83268efffffffff,3.0,0.0,0.0,0.0,0.0
832690fffffffff,260.0,0.0,0.0,0.0,0.0
832691fffffffff,2.0,0.0,0.0,0.0,0.0
832692fffffffff,119.0,0.0,0.0,0.0,0.0
832693fffffffff,3.0,0.0,0.0,0.0,0.0
832694fffffffff,127.0,0.0,0.0,0.0,0.0
832695fffffffff,11.0,0.0,0.0,0.0,0.0
832696fffffffff,2556.0,0.0,0.0,0.0,0.0
832698fffffffff,3.0,0.0,0.0,0.0,0.0
832699fffffffff,11.0,0.0,0.0,0.0,0.0
83269afffffffff,10.0,0.0,0.0,0.0,0.0
83269bfffffffff,21.0,0.0,0.0,0.0,0.0
83269cfffffffff,373.0,0.0,0.0,0.0,0.0
83269dfffffffff,21.0,0.0,0.0,0.0,0.0
83269efffffffff,24.0,0.0,0.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0,0.0,0.0
8326a8fffffffff,80.0,0.0,0.0,0.0,0.0
8326a9fffffffff,35.0,0.0,0.0,0.0,0.0
8326aafffffffff,926.0,0.0,0.0,0.0,0.0
8326abfffffffff,35.0,0.0,0.0,0.0,0.0
8326acfffffffff,107.0,0.0,0.0,0.0,0.0
8326adfffffffff,6.0,0.0,0.0,0.0,0.0
8326aefffffffff,374.0,0.0,0.0,0.0,0.0
8326b0fffffffff,4.0,0.0,0.0,0.0,0.0
8326b2fffffffff,26.0,0.0,0.0,0.0,0.0
8326b3fffffffff,9.0,0.0,0.0,0.0,0.0
8326b6fffffffff,7.0,0.0,0.0,0.0,0.0
8326c1fffffffff,249.0,0.0,0.0,0.0,0.0
8326c2fffffffff,2.0,0.0,0.0,0.0,0.0
8326c3fffffffff,94.0,0.0,0.0,0.0,0.0
8326c4fffffffff,28.0,0.0,0.0,0.0,0.0
8326c5fffffffff,12.0,0.0,0.0,0.0,0.0
8326c6fffffffff,10.0,0.0,0.0,0.0,0.0
8326c8fffffffff,735.0,0.0,0.0,0.0,0.0
8326c9fffffffff,10.0,0.0,0.0,0.0,0.0
8326cafffffffff,60.0,0.0,0.0,0.0,0.0
8326cbfffffffff,456.0,0.0,0.0,0.0,0.0
8326ccfffffffff,3.0,0.0,0.0,0.0,0.0
8326cefffffffff,4.0,0.0,0.0,0.0,0.0
8326d0fffffffff,29.0,0.0,0.0,0.0,0.0
8326d1fffffffff,106.0,0.0,0.0,0.0,0.0
8326d2fffffffff,4.0,0.0,0.0,0.0,0.0
8326d3fffffffff,269.0,0.0,0.0,0.0,0.0
8326d4fffffffff,390.0,0.0,0.0,0.0,0.0
8326d5fffffffff,20.0,0.0,0.0,0.0,0.0
8326d6fffffffff,31.0,0.0,0.0,0.0,0.0
8326d8fffffffff,40.0,0.0,0.0,0.0,0.0
8326d9fffffffff,116.0,0.0,0.0,0.0,0.0
8326dafffffffff,77.0,0.0,0.0,0.0,0.0
8326dbfffffffff,57.0,0.0,0.0,0.0,0.0
8326dcfffffffff,8.0,0.0,0.0,0.0,0.0
8326ddfffffffff,32.0,0.0,0.0,0.0,0.0
8326defffffffff,791.0,0.0,0.0,0.0,0.0
8326e0fffffffff,15.0,0.0,0.0,0.0,0.0
8326e1fffffffff,2.0,0.0,0.0,0.0,0.0
8326e2fffffffff,1193.0,0.0,0.0,0.0,0.0
8326e3fffffffff,79.0,0.0,0.0,0.0,0.0
8326e4fffffffff,10.0,0.0,0.0,0.0,0.0
8326e5fffffffff,55.0,0.0,0.0,0.0,0.0
8326e6fffffffff,11.0,0.0,0.0,0.0,0.0
8326e8fffffffff,2.0,0.0,0.0,0.0,0.0
8326eafffffffff,1.0,0.0,0.0,0.0,0.0
8326ecfffffffff,21.0,0.0,0.0,0.0,0.0
8326edfffffffff,1.0,0.0,0.0,0.0,0.0
8326eefffffffff,6.0,0.0,0.0,0.0,0.0
8326f0fffffffff,66.0,0.0,0.0,0.0,0.0
8326f1fffffffff,79.0,0.0,0.0,0.0,0.0
8326f2fffffffff,321.0,0.0,0.0,0.0,0.0
8326f3fffffffff,71.0,0.0,0.0,0.0,0.0
8326f4fffffffff,2.0,0.0,0.0,0.0,0.0
8326f5fffffffff,7.0,0.0,0.0,0.0,0.0
8326f6fffffffff,2.0,0.0,0.0,0.0,0.0
832702fffffffff,557.0,0.0,0.0,0.0,0.0
832710fffffffff,3.0,0.0,0.0,0.0,0.0
832711fffffffff,70.0,0.0,0.0,0.0,0.0
832712fffffffff,3.0,0.0,0.0,0.0,0.0
832713fffffffff,599.0,0.0,0.0,0.0,0.0
832716fffffffff,1.0,0.0,0.0,0.0,0.0
832718fffffffff,37.0,0.0,0.0,0.0,0.0
832719fffffffff,35.0,0.0,0.0,0.0,0.0
83271afffffffff,71.0,0.0,0.0,0.0,0.0
83271bfffffffff,169.0,0.0,0.0,0.0,0.0
83271cfffffffff,16.0,0.0,0.0,0.0,0.0
83271dfffffffff,13.0,0.0,0.0,0.0,0.0
83271efffffffff,9.0,0.0,0.0,0.0,0.0
832740fffffffff,23.0,0.0,0.0,0.0,0.0
832743fffffffff,727.0,0.0,0.0,0.0,0.0
832745fffffffff,13.0,0.0,0.0,0.0,0.0
832748fffffffff,25.0,0.0,0.0,0.0,0.0
832749fffffffff,21.0,0.0,0.0,0.0,0.0
83274afffffffff,11.0,0.0,0.0,0.0,0.0
83274bfffffffff,12.0,0.0,0.0,0.0,0.0
83274cfffffffff,68.0,0.0,0.0,0.0,0.0
83274dfffffffff,610.0,0.0,0.0,0.0,0.0
83274efffffffff,112.0,0.0,0.0,0.0,0.0
832751fffffffff,11.0,0.0,0.0,0.0,0.0
832752fffffffff,41.0,0.0,0.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0,0.0,0.0
832758fffffffff,129.0,0.0,0.0,0.0,0.0
832759fffffffff,1640.0,0.0,0.0,0.0,0.0
83275afffffffff,9.0,0.0,0.0,0.0,0.0
83275bfffffffff,20.0,0.0,0.0,0.0,0.0
83275cfffffffff,432.0,0.0,0.0,0.0,0.0
83275dfffffffff,1686.0,0.0,0.0,0.0,0.0
83275efffffffff,14.0,0.0,0.0,0.0,0.0
832763fffffffff,126.0,0.0,17.0,0.0,0.0
832768fffffffff,4.0,0.0,0.0,0.0,0.0
832769fffffffff,23.0,0.0,0.0,0.0,0.0
83276bfffffffff,752.0,0.0,0.0,0.0,0.0
83276cfffffffff,5.0,0.0,0.0,0.0,0.0
83276dfffffffff,104.0,0.0,0.0,0.0,0.0
83276efffffffff,8.0,0.0,0.0,0.0,0.0
832780fffffffff,3.0,0.0,0.0,0.0,0.0
832781fffffffff,1.0,0.0,0.0,0.0,0.0
832782fffffffff,8.0,0.0,0.0,0.0,0.0
832785fffffffff,130.0,0.0,0.0,0.0,0.0
832786fffffffff,138.0,0.0,0.0,0.0,0.0
832790fffffffff,3.0,0.0,0.0,0.0,0.0
832791fffffffff,8.0,0.0,0.0,0.0,0.0
832792fffffffff,18.0,0.0,0.0,0.0,0.0
832794fffffffff,1.0,0.0,0.0,0.0,0.0
832796fffffffff,314.0,0.0,0.0,0.0,0.0
832799fffffffff,2.0,0.0,0.0,0.0,0.0
83279cfffffffff,1.0,0.0,0.0,0.0,0.0
83279efffffffff,18.0,0.0,0.0,0.0,0.0
8327a0fffffffff,46.0,0.0,0.0,0.0,0.0
8327a1fffffffff,42.0,0.0,0.0,0.0,0.0
8327a2fffffffff,41.0,0.0,0.0,0.0,0.0
8327a3fffffffff,2.0,0.0,0.0,0.0,0.0
8327a4fffffffff,103.0,0.0,0.0,0.0,0.0
8327a5fffffffff,9.0,0.0,0.0,0.0,0.0
8327a6fffffffff,18.0,0.0,0.0,0.0,0.0
8327a8fffffffff,119.0,0.0,0.0,0.0,0.0
8327a9fffffffff,199.0,0.0,0.0,0.0,0.0
8327aafffffffff,4.0,0.0,0.0,0.0,0.0
8327abfffffffff,2.0,0.0,0.0,0.0,0.0
8327acfffffffff,29.0,0.0,0.0,0.0,0.0
8327adfffffffff,123.0,0.0,0.0,0.0,0.0
