cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
843010bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8430111ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430115ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
843012dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843015bffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
843019bffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8430203ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430215ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430217ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430251ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430253ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430257ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430259ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
843025dffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
84302b7ffffffff,117.0,0.0,2.0,0.0,0.0,0.0,0.0
84302c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84302ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430305ffffffff,64.0,0.0,25.0,0.0,0.0,0.0,0.0
843030dffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8430325ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430329ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430345ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430363ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430815ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8430827ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430833ffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0
8430839ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
843083bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843084bffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8430855ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8430905ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430911ffffffff,80.0,0.0,0.0,0.0,0.0,0.0,0.0
8430915ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843091dffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8430929ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430963ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8430981ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8430983ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8430985ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8430987ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8430989ffffffff,238.0,0.0,0.0,0.0,0.0,0.0,0.0
843098bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
