cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
8366b5fffffffff,35.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0
8366c6fffffffff,5.0,0.0,0.0
8366d0fffffffff,4.0,0.0,1.0
8366d3fffffffff,19.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e6fffffffff,7.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0
8366f1fffffffff,18.0,0.0,0.0
8366f5fffffffff,12.0,0.0,0.0
836742fffffffff,26.0,0.0,1.0
836743fffffffff,14.0,0.0,0.0
836744fffffffff,27.0,0.0,0.0
836746fffffffff,53.0,0.0,0.0
83674efffffffff,5.0,0.0,0.0
836750fffffffff,3.0,0.0,0.0
836752fffffffff,2.0,0.0,0.0
836755fffffffff,30.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0
836773fffffffff,78.0,0.0,0.0
83679bfffffffff,8.0,0.0,0.0
836c5bfffffffff,3.0,0.0,0.0
836d05fffffffff,1.0,0.0,0.0
836d06fffffffff,2.0,0.0,0.0
836d23fffffffff,3.0,1.0,0.0
836d25fffffffff,41.0,20.0,0.0
836d2afffffffff,16.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d2efffffffff,8.0,0.0,0.0
836d30fffffffff,2.0,0.0,0.0
836d31fffffffff,6.0,4.0,0.0
836d34fffffffff,13.0,0.0,0.0
836d35fffffffff,2.0,0.0,0.0
836d60fffffffff,12.0,0.0,0.0
836d61fffffffff,14.0,0.0,0.0
836d66fffffffff,5.0,0.0,0.0
836d68fffffffff,31.0,1.0,0.0
836d69fffffffff,14.0,0.0,0.0
836d6cfffffffff,6.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0
836d74fffffffff,3.0,0.0,0.0
836d75fffffffff,12.0,0.0,0.0
836d76fffffffff,7.0,0.0,0.0
838162fffffffff,4.0,0.0,0.0
838a69fffffffff,3.0,0.0,0.0
838a6dfffffffff,7.0,0.0,0.0
838a8cfffffffff,11.0,0.0,0.0
838aa9fffffffff,3.0,0.0,0.0
838aaafffffffff,5.0,0.0,0.0
838aabfffffffff,16.0,0.0,0.0
838af4fffffffff,4.0,0.0,0.0
838af6fffffffff,3.0,0.0,0.0
838b04fffffffff,3.0,0.0,0.0
838b44fffffffff,2.0,0.0,0.0
838b4efffffffff,2.0,0.0,0.0
838b61fffffffff,17.0,0.0,0.0
838b63fffffffff,3.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b6efffffffff,3.0,0.0,0.0
838b71fffffffff,8.0,0.0,2.0
838e62fffffffff,2.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0
838e75fffffffff,5.0,0.0,0.0
838f09fffffffff,6.0,0.0,0.0
838f0dfffffffff,11.0,0.0,0.0
838f2cfffffffff,3.0,0.0,0.0
838f40fffffffff,8.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4cfffffffff,8.0,0.0,0.0
838f50fffffffff,4.0,0.0,4.0
838f5dfffffffff,4.0,0.0,0.0
838f6efffffffff,7.0,0.0,0.0
83a835fffffffff,3.0,0.0,0.0
83a85dfffffffff,1.0,0.0,1.0
83a88cfffffffff,1.0,0.0,1.0
83a891fffffffff,4.0,0.0,0.0
83a918fffffffff,1.0,0.0,0.0
83a944fffffffff,12.0,0.0,0.0
83a946fffffffff,8.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83a961fffffffff,31.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83a964fffffffff,20.0,0.0,0.0
83a965fffffffff,3.0,0.0,0.0
83a96cfffffffff,21.0,0.0,0.0
83b241fffffffff,3.0,0.0,0.0
83b24bfffffffff,1.0,0.0,0.0
83b24dfffffffff,13.0,0.0,0.0
83b24efffffffff,5.0,0.0,0.0
83b25afffffffff,1.0,0.0,0.0
83b25efffffffff,3.0,0.0,0.0
83b268fffffffff,6.0,0.0,0.0
83b269fffffffff,36.0,0.0,0.0
83b26bfffffffff,37.0,0.0,0.0
83b26dfffffffff,42.0,0.0,0.0
83b275fffffffff,2.0,0.0,0.0
83b2c0fffffffff,2.0,0.0,0.0
83b2ecfffffffff,57.0,0.0,0.0
83b342fffffffff,29.0,0.0,0.0
83b34dfffffffff,3.0,0.0,0.0
83b351fffffffff,5.0,0.0,0.0
83b35cfffffffff,8.0,0.0,0.0
83b35dfffffffff,2.0,0.0,0.0
83c2c1fffffffff,6.0,0.0,0.0
83c2c5fffffffff,13.0,0.0,1.0
83c2c8fffffffff,2.0,0.0,0.0
83c2c9fffffffff,34.0,0.0,0.0
83c2cafffffffff,37.0,0.0,0.0
83c2cbfffffffff,18.0,0.0,0.0
83c2cdfffffffff,22.0,0.0,0.0
83c2d9fffffffff,74.0,0.0,2.0
83c2e1fffffffff,5.0,0.0,0.0
83c2e3fffffffff,10.0,0.0,0.0
83c2e6fffffffff,3.0,0.0,0.0
83c2eafffffffff,2.0,0.0,0.0
83c2ecfffffffff,4.0,0.0,0.0
83c2eefffffffff,8.0,0.0,0.0
83c2f3fffffffff,2.0,0.0,0.0
83c340fffffffff,5.0,0.0,0.0
83c341fffffffff,2.0,0.0,0.0
83c348fffffffff,2.0,0.0,0.0
83c34efffffffff,2.0,0.0,0.0
