cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
842658dffffffff,12.0,0.0,0.0
8426591ffffffff,2.0,0.0,0.0
8426593ffffffff,75.0,0.0,0.0
8426595ffffffff,2.0,0.0,0.0
8426599ffffffff,45.0,0.0,0.0
842659bffffffff,6037.0,0.0,0.0
842659dffffffff,2.0,0.0,0.0
84265a1ffffffff,8.0,0.0,0.0
84265a3ffffffff,1408.0,0.0,0.0
84265a5ffffffff,31.0,0.0,0.0
84265a7ffffffff,130.0,0.0,0.0
84265a9ffffffff,11.0,0.0,0.0
84265abffffffff,10.0,0.0,0.0
84265adffffffff,15.0,0.0,0.0
84265b1ffffffff,41.0,0.0,0.0
84265b5ffffffff,2368.0,0.0,0.0
84265b7ffffffff,54.0,0.0,0.0
