cell_id,Pica pica,Pica pica melanotos,Pica pica [pica Group],Pica pica camtschatica
841115bffffffff,11.0,0.0,1.0,0.0
8411169ffffffff,53.0,0.0,0.0,0.0
841116dffffffff,8.0,0.0,0.0,0.0
841120dffffffff,3.0,0.0,0.0,0.0
8411211ffffffff,2.0,0.0,0.0,0.0
8411215ffffffff,2.0,0.0,0.0,0.0
8411217ffffffff,2.0,0.0,2.0,0.0
8411221ffffffff,8.0,0.0,2.0,0.0
8411223ffffffff,8.0,0.0,2.0,0.0
8411229ffffffff,2.0,0.0,0.0,0.0
841122bffffffff,2.0,0.0,0.0,0.0
8411231ffffffff,4.0,0.0,0.0,0.0
8411233ffffffff,1.0,0.0,0.0,0.0
8411235ffffffff,35.0,0.0,0.0,0.0
8411237ffffffff,5.0,0.0,0.0,0.0
8411241ffffffff,3.0,0.0,0.0,0.0
8411245ffffffff,7.0,0.0,0.0,0.0
8411247ffffffff,5.0,0.0,0.0,0.0
8411249ffffffff,28.0,0.0,0.0,0.0
8411251ffffffff,38.0,0.0,0.0,0.0
8411253ffffffff,2.0,0.0,2.0,0.0
8411261ffffffff,34.0,0.0,10.0,0.0
8411263ffffffff,11.0,0.0,0.0,0.0
8411267ffffffff,3.0,0.0,0.0,0.0
8411269ffffffff,24.0,0.0,4.0,0.0
841126bffffffff,21.0,0.0,1.0,0.0
841126dffffffff,402.0,0.0,100.0,0.0
8411281ffffffff,5.0,0.0,1.0,0.0
8411285ffffffff,2.0,0.0,0.0,0.0
8411289ffffffff,1.0,0.0,0.0,0.0
841129dffffffff,2.0,0.0,0.0,0.0
84112adffffffff,17.0,0.0,4.0,0.0
84112c1ffffffff,2.0,0.0,0.0,0.0
84112c3ffffffff,1.0,0.0,1.0,0.0
84112d3ffffffff,2.0,0.0,0.0,0.0
84112d7ffffffff,2.0,0.0,2.0,0.0
84112d9ffffffff,1.0,0.0,0.0,0.0
84112ddffffffff,2.0,0.0,0.0,0.0
84112e3ffffffff,11.0,0.0,2.0,0.0
84112e7ffffffff,6.0,0.0,2.0,0.0
84112ebffffffff,1.0,0.0,0.0,0.0
84112edffffffff,6.0,0.0,0.0,0.0
8411303ffffffff,2.0,0.0,0.0,0.0
