cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
842d1d9ffffffff,1.0,0.0,0.0
842d293ffffffff,4.0,0.0,0.0
842d2d1ffffffff,5.0,0.0,0.0
842d2dbffffffff,2.0,0.0,0.0
842d331ffffffff,73.0,6.0,0.0
842d333ffffffff,2.0,2.0,0.0
842d33dffffffff,3.0,0.0,0.0
842d367ffffffff,3.0,0.0,0.0
842d5c1ffffffff,5.0,0.0,0.0
842d5c3ffffffff,20.0,0.0,0.0
842d5cbffffffff,2.0,0.0,0.0
842d641ffffffff,21.0,0.0,0.0
842d649ffffffff,2.0,0.0,0.0
842d753ffffffff,2.0,0.0,0.0
842d82dffffffff,2.0,0.0,0.0
842d94bffffffff,7.0,0.0,0.0
842d95bffffffff,1.0,0.0,0.0
842da17ffffffff,139.0,2.0,0.0
842da19ffffffff,64.0,1.0,0.0
842da1bffffffff,76.0,1.0,0.0
842da23ffffffff,4.0,0.0,0.0
842da45ffffffff,1.0,0.0,0.0
842da47ffffffff,3.0,0.0,0.0
842da53ffffffff,5.0,0.0,0.0
842da5dffffffff,148.0,14.0,0.0
842da69ffffffff,36.0,0.0,0.0
842da6bffffffff,15.0,2.0,0.0
842da81ffffffff,14.0,0.0,0.0
842da8dffffffff,4.0,0.0,0.0
842dab1ffffffff,3.0,0.0,0.0
842dac5ffffffff,1.0,0.0,0.0
842dac9ffffffff,1.0,0.0,0.0
842dacdffffffff,3.0,0.0,0.0
842dae9ffffffff,32.0,0.0,0.0
842db01ffffffff,75.0,1.0,0.0
842db03ffffffff,137.0,41.0,0.0
842db05ffffffff,4.0,0.0,0.0
842db0bffffffff,331.0,54.0,0.0
842db0dffffffff,26.0,0.0,0.0
842db11ffffffff,4.0,0.0,0.0
842db15ffffffff,14.0,0.0,0.0
842db1dffffffff,2.0,0.0,0.0
842db21ffffffff,8.0,0.0,0.0
842db25ffffffff,9.0,0.0,0.0
842db2bffffffff,2.0,0.0,0.0
842db37ffffffff,14.0,4.0,0.0
842db3dffffffff,11.0,0.0,0.0
842db57ffffffff,2.0,0.0,0.0
842db63ffffffff,6.0,0.0,0.0
842db65ffffffff,3.0,0.0,0.0
842db67ffffffff,78.0,9.0,0.0
842e0d7ffffffff,2.0,0.0,0.0
842e1b5ffffffff,2.0,0.0,0.0
842e1dbffffffff,4.0,0.0,0.0
842e2b5ffffffff,2.0,0.0,0.0
842e44dffffffff,4.0,0.0,0.0
842e601ffffffff,5.0,0.0,0.0
842e605ffffffff,1.0,0.0,0.0
842e607ffffffff,3.0,0.0,0.0
842e60bffffffff,30.0,0.0,0.0
842e60dffffffff,2.0,0.0,0.0
842e613ffffffff,1.0,0.0,0.0
842e689ffffffff,2.0,0.0,0.0
842e6c7ffffffff,2.0,0.0,0.0
842e6d3ffffffff,2.0,0.0,0.0
842e6d7ffffffff,3.0,0.0,0.0
842e713ffffffff,2.0,2.0,0.0
842e72bffffffff,2.0,0.0,0.0
842e749ffffffff,5.0,0.0,0.0
842ef63ffffffff,2.0,0.0,0.0
842f587ffffffff,2.0,0.0,0.0
842f5a1ffffffff,1.0,1.0,0.0
842f5a3ffffffff,2.0,0.0,0.0
842f5a9ffffffff,15.0,2.0,0.0
842f5abffffffff,96.0,8.0,0.0
842f5adffffffff,7.0,0.0,0.0
842f5bbffffffff,1.0,0.0,0.0
8430115ffffffff,2.0,0.0,0.0
843012dffffffff,8.0,0.0,0.0
843016dffffffff,2.0,0.0,0.0
8430229ffffffff,6.0,0.0,0.0
843022dffffffff,1.0,0.0,0.0
84302b7ffffffff,15.0,0.0,0.0
84302e1ffffffff,10.0,0.0,0.0
8430305ffffffff,59.0,28.0,0.0
8430325ffffffff,37.0,4.0,0.0
8430329ffffffff,7.0,0.0,0.0
843032dffffffff,9.0,0.0,0.0
8430815ffffffff,8.0,0.0,0.0
8430833ffffffff,191.0,26.0,0.0
843084bffffffff,13.0,0.0,0.0
8430921ffffffff,2.0,0.0,0.0
8430929ffffffff,1.0,0.0,0.0
8430981ffffffff,3.0,0.0,0.0
8430985ffffffff,1.0,0.0,0.0
8430991ffffffff,25.0,1.0,0.0
8430995ffffffff,3.0,2.0,0.0
8430997ffffffff,10.0,0.0,0.0
843099dffffffff,2.0,0.0,0.0
84309a1ffffffff,5.0,4.0,0.0
84309a3ffffffff,4.0,4.0,0.0
84309a5ffffffff,3.0,3.0,0.0
84309b1ffffffff,7.0,0.0,0.0
84309b3ffffffff,14.0,0.0,0.0
84309b5ffffffff,17.0,3.0,0.0
84309b7ffffffff,2.0,0.0,0.0
84309bbffffffff,12.0,3.0,0.0
84309bdffffffff,2.0,2.0,0.0
84309d1ffffffff,2.0,0.0,0.0
84309d3ffffffff,41.0,3.0,0.0
84309d5ffffffff,11.0,0.0,0.0
84309d7ffffffff,2.0,0.0,0.0
84309d9ffffffff,152.0,56.0,0.0
84309dbffffffff,5.0,1.0,0.0
8430a13ffffffff,10.0,2.0,0.0
8430a31ffffffff,7.0,7.0,0.0
8430a3bffffffff,3.0,0.0,0.0
8430ac5ffffffff,1.0,0.0,0.0
8430c41ffffffff,2.0,0.0,0.0
8430c45ffffffff,2.0,0.0,0.0
8430c49ffffffff,22.0,0.0,0.0
8430c4dffffffff,64.0,0.0,0.0
8430c61ffffffff,2.0,0.0,0.0
8430c65ffffffff,6.0,0.0,0.0
8430c69ffffffff,1.0,0.0,0.0
8430d11ffffffff,4.0,0.0,0.0
8430d17ffffffff,3.0,0.0,0.0
8430d97ffffffff,39.0,6.0,0.0
8430d9bffffffff,4.0,0.0,0.0
8430e01ffffffff,11.0,0.0,0.0
8430e07ffffffff,79.0,1.0,0.0
8430e09ffffffff,3.0,0.0,0.0
8430e0bffffffff,16.0,2.0,0.0
8430e23ffffffff,11.0,0.0,0.0
8430e2bffffffff,40.0,4.0,0.0
8430e87ffffffff,2.0,0.0,0.0
8430e89ffffffff,1.0,0.0,0.0
8430f31ffffffff,3.0,0.0,0.0
84312adffffffff,1.0,1.0,0.0
84312c5ffffffff,1.0,1.0,0.0
84316e5ffffffff,1.0,0.0,0.0
84316e7ffffffff,8.0,0.0,0.0
8431859ffffffff,4.0,0.0,0.0
843185bffffffff,191.0,9.0,0.0
8431881ffffffff,7.0,0.0,0.0
8431889ffffffff,15.0,3.0,0.0
84318c7ffffffff,5.0,0.0,0.0
84318d1ffffffff,268.0,33.0,0.0
84318d3ffffffff,32.0,0.0,0.0
84318d5ffffffff,7.0,2.0,0.0
84318d7ffffffff,434.0,35.0,0.0
8431a51ffffffff,3.0,0.0,0.0
8431a85ffffffff,7.0,2.0,0.0
8431aa5ffffffff,1.0,0.0,0.0
8431aa7ffffffff,6.0,0.0,0.0
8431aabffffffff,7.0,0.0,0.0
8431aadffffffff,17.0,0.0,0.0
8434229ffffffff,43.0,0.0,0.0
8434261ffffffff,1.0,0.0,0.0
84344c5ffffffff,5.0,0.0,0.0
84344cbffffffff,41.0,0.0,0.0
8434691ffffffff,18.0,0.0,0.0
8434695ffffffff,57.0,0.0,0.0
8434697ffffffff,9.0,0.0,0.0
8434699ffffffff,33.0,0.0,0.0
843469dffffffff,26.0,0.0,0.0
84346bbffffffff,24.0,0.0,0.0
84346d7ffffffff,2.0,0.0,0.0
84351b5ffffffff,1041.0,0.0,0.0
84351bdffffffff,44.0,0.0,0.0
8435a93ffffffff,7.0,0.0,0.0
8438161ffffffff,21.0,0.0,0.0
843816dffffffff,71.0,6.0,0.0
8438209ffffffff,3.0,0.0,0.0
843820dffffffff,2.0,0.0,0.0
8438247ffffffff,668.0,66.0,0.0
8438251ffffffff,24.0,0.0,0.0
8438253ffffffff,9.0,0.0,0.0
8438255ffffffff,90.0,10.0,0.0
843825bffffffff,283.0,17.0,0.0
843825dffffffff,8.0,0.0,0.0
843826bffffffff,148.0,25.0,0.0
8438367ffffffff,3.0,0.0,0.0
8438421ffffffff,1.0,0.0,0.0
8438423ffffffff,1.0,0.0,0.0
8438427ffffffff,1.0,1.0,0.0
843842bffffffff,3.0,1.0,0.0
8438435ffffffff,18.0,0.0,0.0
84384a1ffffffff,18.0,0.0,0.0
84384a9ffffffff,8.0,0.0,0.0
84384adffffffff,8.0,0.0,0.0
84384c5ffffffff,2.0,0.0,0.0
84384e3ffffffff,4.0,0.0,0.0
84384e5ffffffff,4.0,0.0,0.0
84384e7ffffffff,12.0,0.0,0.0
84384e9ffffffff,2.0,0.0,0.0
8438529ffffffff,2.0,0.0,0.0
84385c9ffffffff,4.0,0.0,0.0
8438625ffffffff,2.0,0.0,0.0
843865bffffffff,3.0,0.0,0.0
8438685ffffffff,6.0,2.0,0.0
8438699ffffffff,3.0,0.0,0.0
84386a1ffffffff,14.0,0.0,0.0
84386a3ffffffff,12.0,2.0,0.0
