cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
843da33ffffffff,25.0,25.0,0.0
843da37ffffffff,270.0,270.0,0.0
843da39ffffffff,2.0,2.0,0.0
843da3bffffffff,1.0,1.0,0.0
843da3dffffffff,14.0,14.0,0.0
843da53ffffffff,2.0,2.0,0.0
843da57ffffffff,30.0,30.0,0.0
843da63ffffffff,5.0,5.0,0.0
843da67ffffffff,2.0,2.0,0.0
843da69ffffffff,31.0,31.0,0.0
843da6dffffffff,4.0,4.0,0.0
843da81ffffffff,1.0,1.0,0.0
843da8bffffffff,4.0,4.0,0.0
843da95ffffffff,4.0,4.0,0.0
843da97ffffffff,4.0,4.0,0.0
843da99ffffffff,4.0,4.0,0.0
843da9dffffffff,4.0,4.0,0.0
843daa5ffffffff,9.0,9.0,0.0
843daadffffffff,3.0,3.0,0.0
843dab3ffffffff,1.0,1.0,0.0
843dab5ffffffff,1.0,1.0,0.0
843dac5ffffffff,3.0,3.0,0.0
843dac9ffffffff,40.0,40.0,0.0
843dacbffffffff,3.0,3.0,0.0
843dad1ffffffff,949.0,949.0,0.0
843dad3ffffffff,12.0,12.0,0.0
843dad5ffffffff,61.0,61.0,0.0
843dad7ffffffff,4.0,4.0,0.0
843dad9ffffffff,208.0,208.0,0.0
843dadbffffffff,39.0,39.0,0.0
843daddffffffff,340.0,340.0,0.0
843dae1ffffffff,1.0,1.0,0.0
843dae5ffffffff,3.0,3.0,0.0
843daebffffffff,5.0,5.0,0.0
843db01ffffffff,3.0,3.0,0.0
843db03ffffffff,4.0,4.0,0.0
843db09ffffffff,2.0,2.0,0.0
843db0bffffffff,1.0,1.0,0.0
843db0dffffffff,2.0,2.0,0.0
843db11ffffffff,3.0,3.0,0.0
843db13ffffffff,211.0,211.0,0.0
843db1bffffffff,2.0,2.0,0.0
843db23ffffffff,4.0,4.0,0.0
843db25ffffffff,19.0,19.0,0.0
843db29ffffffff,9.0,9.0,0.0
843db2bffffffff,4.0,4.0,0.0
843db2dffffffff,69.0,69.0,0.0
843db31ffffffff,17.0,17.0,0.0
843db33ffffffff,3.0,3.0,0.0
