cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
83ce83fffffffff,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce84fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce85fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce88fffffffff,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
83ce8afffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce8bfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce8cfffffffff,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83ce8efffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce92fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce93fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce98fffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce99fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce9bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce9cfffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ce9dfffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cea0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cea1fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cea3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cea5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cea8fffffffff,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
83ceaafffffffff,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
83ceabfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ceacfffffffff,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
83ceaefffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83cf12fffffffff,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
83cf16fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf81fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf85fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf88fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf8afffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf8bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf8cfffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf8dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cf8efffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfa0fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfa2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfa4fffffffff,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
83cfa5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfa8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfa9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfaafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfabfffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83cfacfffffffff,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83cfb1fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
